agency,site,date_time,flow,comments
USGS,nbp_cumb,2019-06-27T04:00:00Z,756,
USGS,nbp_cumb,2019-06-28T04:00:00Z,722,
USGS,nbp_cumb,2019-06-29T04:00:00Z,667,
USGS,nbp_cumb,2019-06-30T04:00:00Z,1790,
USGS,nbp_cumb,2019-07-01T04:00:00Z,3870,
USGS,nbp_cumb,2019-07-02T04:00:00Z,2890,
USGS,opequan,2019-06-01T04:00:00Z,277,
USGS,opequan,2019-06-02T04:00:00Z,279,
USGS,opequan,2019-06-03T04:00:00Z,270,
USGS,opequan,2019-06-04T04:00:00Z,252,
USGS,opequan,2019-06-05T04:00:00Z,244,
USGS,opequan,2019-06-06T04:00:00Z,249,
USGS,opequan,2019-06-07T04:00:00Z,242,
USGS,opequan,2019-06-08T04:00:00Z,232,
USGS,opequan,2019-06-09T04:00:00Z,227,
USGS,opequan,2019-06-10T04:00:00Z,241,
USGS,opequan,2019-06-11T04:00:00Z,253,
USGS,opequan,2019-06-12T04:00:00Z,229,
USGS,opequan,2019-06-13T04:00:00Z,248,
USGS,opequan,2019-06-14T04:00:00Z,265,
USGS,opequan,2019-06-15T04:00:00Z,232,
USGS,opequan,2019-06-16T04:00:00Z,220,
USGS,opequan,2019-06-17T04:00:00Z,217,
USGS,opequan,2019-06-18T04:00:00Z,204,
USGS,opequan,2019-06-19T04:00:00Z,203,
USGS,opequan,2019-06-20T04:00:00Z,201,
USGS,opequan,2019-06-21T04:00:00Z,194,
USGS,opequan,2019-06-22T04:00:00Z,188,
USGS,opequan,2019-06-23T04:00:00Z,181,
USGS,opequan,2019-06-24T04:00:00Z,177,
USGS,opequan,2019-06-25T04:00:00Z,223,
USGS,opequan,2019-06-26T04:00:00Z,204,
USGS,opequan,2019-06-27T04:00:00Z,185,
USGS,opequan,2019-06-28T04:00:00Z,189,
USGS,opequan,2019-06-29T04:00:00Z,187,
USGS,opequan,2019-06-30T04:00:00Z,198,
USGS,opequan,2019-07-01T04:00:00Z,173,
USGS,opequan,2019-07-02T04:00:00Z,166,
USGS,hanc,2019-06-01T04:00:00Z,2890,
USGS,hanc,2019-06-02T04:00:00Z,2890,
USGS,hanc,2019-06-03T04:00:00Z,2840,
USGS,hanc,2019-06-04T04:00:00Z,2630,
USGS,hanc,2019-06-05T04:00:00Z,2360,
USGS,hanc,2019-06-06T04:00:00Z,2130,
USGS,hanc,2019-06-07T04:00:00Z,2360,
USGS,hanc,2019-06-08T04:00:00Z,2340,
USGS,hanc,2019-06-09T04:00:00Z,1960,
USGS,hanc,2019-06-10T04:00:00Z,1850,
USGS,hanc,2019-06-11T04:00:00Z,2100,
USGS,hanc,2019-06-12T04:00:00Z,2820,
USGS,hanc,2019-06-13T04:00:00Z,2900,
USGS,hanc,2019-06-14T04:00:00Z,2350,
USGS,hanc,2019-06-15T04:00:00Z,2140,
USGS,hanc,2019-06-16T04:00:00Z,1930,
USGS,hanc,2019-06-17T04:00:00Z,1850,
USGS,hanc,2019-06-18T04:00:00Z,1810,
USGS,hanc,2019-06-19T04:00:00Z,1770,
USGS,hanc,2019-06-20T04:00:00Z,1840,
USGS,hanc,2019-06-21T04:00:00Z,3450,
USGS,hanc,2019-06-22T04:00:00Z,2730,
USGS,hanc,2019-06-23T04:00:00Z,2150,
USGS,hanc,2019-06-24T04:00:00Z,1830,
USGS,hanc,2019-06-25T04:00:00Z,1780,
USGS,hanc,2019-06-26T04:00:00Z,2100,
USGS,hanc,2019-06-27T04:00:00Z,2640,
USGS,hanc,2019-06-28T04:00:00Z,2270,
USGS,hanc,2019-06-29T04:00:00Z,2020,
USGS,hanc,2019-06-30T04:00:00Z,1820,
USGS,hanc,2019-07-01T04:00:00Z,4210,
USGS,hanc,2019-07-02T04:00:00Z,6680,
USGS,paw,2019-06-01T04:00:00Z,2350,
USGS,paw,2019-06-02T04:00:00Z,2610,
USGS,paw,2019-06-03T04:00:00Z,2330,
USGS,paw,2019-06-04T04:00:00Z,2190,
USGS,paw,2019-06-05T04:00:00Z,1930,
USGS,paw,2019-06-06T04:00:00Z,2060,
USGS,paw,2019-06-07T04:00:00Z,2150,
USGS,paw,2019-06-08T04:00:00Z,1900,
USGS,paw,2019-06-09T04:00:00Z,1640,
USGS,paw,2019-06-10T04:00:00Z,1710,
USGS,paw,2019-06-11T04:00:00Z,2290,
USGS,paw,2019-06-12T04:00:00Z,2570,
USGS,paw,2019-06-13T04:00:00Z,2260,
USGS,paw,2019-06-14T04:00:00Z,1950,
USGS,paw,2019-06-15T04:00:00Z,1770,
USGS,paw,2019-06-16T04:00:00Z,1640,
USGS,paw,2019-06-17T04:00:00Z,1630,
USGS,paw,2019-06-18T04:00:00Z,1610,
USGS,paw,2019-06-19T04:00:00Z,1570,
USGS,paw,2019-06-20T04:00:00Z,2620,
USGS,paw,2019-06-21T04:00:00Z,2760,
USGS,paw,2019-06-22T04:00:00Z,2140,
USGS,paw,2019-06-23T04:00:00Z,1780,
USGS,paw,2019-06-24T04:00:00Z,1610,
USGS,paw,2019-06-25T04:00:00Z,1770,
USGS,paw,2019-06-26T04:00:00Z,2310,
USGS,paw,2019-06-27T04:00:00Z,2090,
USGS,paw,2019-06-28T04:00:00Z,1850,
USGS,paw,2019-06-29T04:00:00Z,1590,
USGS,paw,2019-06-30T04:00:00Z,1690,
USGS,paw,2019-07-01T04:00:00Z,7510,
